timestamp,channel,temperature,calibrated_temp,unit
2025-09-11T15:50:21.738417,5,24.555,24.555,C
2025-09-11T15:50:21.738417,6,25.620,25.620,C
2025-09-11T15:50:21.738417,7,25.580,25.580,C
2025-09-11T15:50:21.738417,8,24.157,24.157,C
2025-09-11T15:50:26.784901,1,24.485,24.485,C
2025-09-11T15:50:26.784901,2,25.850,25.850,C
2025-09-11T15:50:26.784901,3,25.105,25.105,C
2025-09-11T15:50:26.784901,4,24.133,24.133,C
2025-09-11T15:50:26.784901,5,24.025,24.025,C
2025-09-11T15:50:26.784901,6,24.717,24.717,C
2025-09-11T15:50:26.784901,7,24.727,24.727,C
2025-09-11T15:50:26.784901,8,25.797,25.797,C
2025-09-11T15:50:31.830840,1,24.286,24.286,C
2025-09-11T15:50:31.830840,2,24.871,24.871,C
2025-09-11T15:50:31.830840,3,24.163,24.163,C
2025-09-11T15:50:31.830840,4,24.353,24.353,C
2025-09-11T15:50:31.830840,5,25.266,25.266,C
2025-09-11T15:50:31.830840,6,24.739,24.739,C
2025-09-11T15:50:31.830840,7,25.958,25.958,C
2025-09-11T15:50:31.830840,8,24.656,24.656,C
2025-09-11T15:50:36.879315,1,25.359,25.359,C
2025-09-11T15:50:36.879315,2,24.643,24.643,C
2025-09-11T15:50:36.879315,3,25.140,25.140,C
2025-09-11T15:50:36.879315,4,24.398,24.398,C
2025-09-11T15:50:36.879315,5,25.186,25.186,C
2025-09-11T15:50:36.879315,6,25.203,25.203,C
2025-09-11T15:50:36.879315,7,24.973,24.973,C
2025-09-11T15:50:36.879315,8,25.268,25.268,C
2025-09-11T15:50:41.934752,1,24.642,24.642,C
2025-09-11T15:50:41.934752,2,24.718,24.718,C
2025-09-11T15:50:41.934752,3,24.309,24.309,C
2025-09-11T15:50:41.934752,4,24.197,24.197,C
2025-09-11T15:50:41.934752,5,25.099,25.099,C
2025-09-11T15:50:41.934752,6,25.889,25.889,C
2025-09-11T15:50:41.934752,7,24.012,24.012,C
2025-09-11T15:50:41.934752,8,25.513,25.513,C
2025-09-11T15:50:46.991225,1,24.482,24.482,C
2025-09-11T15:50:46.991225,2,24.983,24.983,C
2025-09-11T15:50:46.991225,3,24.991,24.991,C
2025-09-11T15:50:46.991225,4,25.805,25.805,C
2025-09-11T15:50:46.991225,5,24.852,24.852,C
2025-09-11T15:50:46.991225,6,25.942,25.942,C
2025-09-11T15:50:46.991225,7,25.324,25.324,C
2025-09-11T15:50:46.991225,8,25.700,25.700,C
2025-09-11T15:50:52.027047,1,25.730,25.730,C
2025-09-11T15:50:52.027047,2,24.806,24.806,C
2025-09-11T15:50:52.027047,3,24.152,24.152,C
